title,author,avg_rating,genre,price,currency,cover_url,link,cluster,pca_1,pca_2
Hidden Pictures,Jason Rekulak,4.15,Fiction,7.49,EUR,http://books.google.com/books/content?id=f4pAEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/58724923-hidden-pictures,0,-0.04003406647598011,-0.42693486628677413
High Fidelity,Nick Hornby,3.94,Fiction,8.99,NAN,http://books.google.com/books/content?id=k3ZtZcOnWrsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/285092.High_Fidelity,0,-0.5738898149443546,0.5280684839931884
High-Rise,J.G. Ballard,3.68,Fiction,8.99,NAN,http://books.google.com/books/content?id=smsrAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/12331767-high-rise,0,-1.4955644951218954,1.449743164170726
His Dark Materials (His Dark Materials #1-3),Philip Pullman,4.29,Juvenile Fiction,8.99,NAN,http://books.google.com/books/content?id=SMgrAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/18116.His_Dark_Materials,0,0.6668261006792587,-0.7126474316304212
Hogfather,Terry Pratchett,4.11,Fiction,8.99,EUR,http://books.google.com/books/content?id=KoaYoRNAowwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/34532.Hogfather,0,0.02874362978711589,-0.07456496073828037
"Holes (Holes, #1)",Louis Sachar,4.01,Juvenile Fiction,8.79,EUR,http://books.google.com/books/content?id=vlJw20OoYqUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/38709.Holes,0,-0.35382313860707204,0.2518487940810275
Holy Bible: New International Version,Anonymous,4.61,Religion,8.99,NAN,http://books.google.com/books/content?id=-B__AwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/280111.Holy_Bible,0,1.8011949378208487,-1.8470162687720078
Home Before Dark,Riley Sager,4.05,Fiction,10.11,EUR,http://books.google.com/books/content?id=Dda1DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/50833559-home-before-dark,0,-0.026722089167273866,0.29535763423542916
"Hopeless (Hopeless, #1)",Colleen Hoover,4.22,Fiction,12.85,EUR,http://books.google.com/books/content?id=B12CEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/15717943-hopeless,0,0.9605594985521135,0.07737233249188169
Houdini Heart,Ki Longfellow,4.11,Fiction,8.99,NAN,http://books.google.com/books/content?id=5WYgKQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/11324204-houdini-heart,0,0.02874362978711589,-0.07456496073828037
"House of Earth and Blood (Crescent City, #1)",Sarah J. Maas,4.11,Fiction,8.99,NAN,http://books.google.com/books/content?id=X_haEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/44778083-house-of-earth-and-blood,0,0.02874362978711589,-0.07456496073828037
House of Leaves,Mark Z. Danielewski,4.13,Fiction,8.99,NAN,http://books.google.com/books/content?id=o6NzGNODRjkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/24800.House_of_Leaves,0,0.09964168210846372,-0.14546301305962797
